时间(s)	加速度(m/s^2)
6.4100	4.52008241e-09
6.4200	3.39733740e-09
6.4300	7.37650954e-10
6.4400	-1.71857958e-09
6.4500	-4.04129217e-09
6.4600	-3.90772918e-09
6.4700	-2.80458373e-09
6.4800	-1.94646174e-10
6.4900	2.72349885e-09
6.5000	3.49254186e-09
6.5100	3.96575206e-09
6.5200	1.65751743e-09
6.5300	-5.45268546e-10
6.5400	-2.23252780e-09
6.5500	-3.08731892e-09
6.5600	-1.83319076e-09
6.5700	-3.12434709e-10
6.5800	1.61461148e-09
6.5900	2.34645343e-09
6.6000	1.92735794e-09
6.6100	6.31801875e-10
6.6200	-1.19494242e-09
6.6300	-1.81753652e-09
6.6400	-2.00787157e-09
6.6500	-7.30100440e-10
6.6600	8.08667343e-10
6.6700	1.37553160e-09
6.6800	1.76852040e-09
6.6900	4.98429709e-10
6.7000	-6.65746968e-10
6.7100	-1.37449339e-09
6.7200	-1.54152482e-09
6.7300	-4.55840319e-10
6.7400	5.17416995e-10
6.7500	1.33225418e-09
6.7600	1.15255668e-09
6.7700	8.48817787e-11
6.7800	-9.92100741e-10
6.7900	-2.07428458e-09
6.8000	-1.58316680e-09
6.8100	-5.80726004e-10
6.8200	8.05998321e-10
6.8300	2.25120057e-09
6.8400	1.34924479e-09
6.8500	2.76159324e-10
6.8600	-2.00644960e-09
6.8700	-3.80829642e-09
6.8800	-3.77450611e-09
6.8900	-2.92305364e-09
6.9000	-3.40081283e-10
6.9100	1.67810160e-09
6.9200	2.95960256e-09
6.9300	2.56139737e-09
6.9400	7.73090557e-10
6.9500	-9.40333428e-10
6.9600	-2.61524624e-09
6.9700	-2.00926538e-09
6.9800	-7.35705883e-10
6.9900	1.20289215e-09
7.0000	3.22638873e-09
7.0100	2.54306488e-09
7.0200	1.68617276e-09
7.0300	-5.30337507e-10
7.0400	-2.21037797e-09
7.0500	-2.05747991e-09
7.0600	-1.06656305e-09
7.0700	1.55383480e-09
7.0800	3.48575385e-09
7.0900	4.58576100e-09
7.1000	3.86009914e-09
7.1100	1.73475770e-09
7.1200	-4.69025870e-10
7.1300	-2.70985156e-09
7.1400	-2.82956105e-09
7.1500	-2.39374012e-09
7.1600	-9.92377579e-10
7.1700	4.77707106e-10
7.1800	2.91326338e-10
7.1900	-3.06431289e-11
7.2000	-1.24362405e-09
7.2100	-2.09582957e-09
7.2200	-1.83795693e-09
7.2300	-1.06377609e-09
7.2400	6.34324693e-10
7.2500	1.93458747e-09
7.2600	2.78927167e-09
7.2700	2.72077496e-09
7.2800	1.99711759e-09
7.2900	1.19034651e-09
7.3000	3.47634361e-10
7.3100	2.03153000e-11
7.3200	-1.87144905e-10
7.3300	-5.43874513e-10
7.3400	-9.21141641e-10
7.3500	-1.51139149e-09
7.3600	-1.94632642e-09
7.3700	-1.50761496e-09
7.3800	-7.73904134e-10
7.3900	7.81590616e-10
7.4000	2.04011736e-09
7.4100	2.80864689e-09
7.4200	2.65382067e-09
7.4300	1.54012500e-09
7.4400	2.18587085e-10
7.4500	-1.23934730e-09
7.4600	-1.60539033e-09
7.4700	-1.54042361e-09
7.4800	-6.07727431e-10
7.4900	5.02458868e-10
7.5000	9.69950227e-10
7.5100	1.34053605e-09
7.5200	7.38724640e-10
7.5300	1.36303208e-10
7.5400	-4.69100533e-10
7.5500	-9.12680635e-10
7.5600	-9.46307520e-10
7.5700	-8.48550261e-10
7.5800	-5.50588595e-10
7.5900	-1.82707973e-10
7.6000	2.52502012e-10
7.6100	6.18681930e-10
7.6200	9.43025442e-10
7.6300	7.00659961e-10
7.6400	2.54860483e-10
7.6500	-8.11158047e-10
7.6600	-1.98743774e-09
7.6700	-2.40575940e-09
7.6800	-2.65723610e-09
7.6900	-1.22897912e-09
7.7000	2.36791852e-10
7.7100	1.86387294e-09
7.7200	2.82125859e-09
7.7300	2.22997356e-09
7.7400	9.41762154e-10
7.7500	-1.32848188e-09
7.7600	-2.87692416e-09
7.7700	-3.78090060e-09
7.7800	-3.14691154e-09
7.7900	-1.65347118e-09
7.8000	-2.30024907e-10
7.8100	1.17067329e-09
7.8200	8.10735502e-10
7.8300	1.82874843e-10
7.8400	-7.54830396e-10
7.8500	-1.50448414e-09
7.8600	-3.91641407e-10
7.8700	9.11433204e-10
7.8800	2.94084773e-09
7.8900	4.27254203e-09
7.9000	4.12671117e-09
7.9100	2.97245046e-09
7.9200	5.02846464e-10
7.9300	-1.47325536e-09
7.9400	-3.04094160e-09
7.9500	-2.76334595e-09
7.9600	-1.53674818e-09
7.9700	2.56709733e-10
7.9800	2.21607793e-09
7.9900	2.30800560e-09
8.0000	2.16153659e-09
8.0100	2.73021082e-10
8.0200	-1.49944147e-09
8.0300	-2.36282255e-09
8.0400	-2.71996523e-09
8.0500	-1.34746003e-09
8.0600	1.38880236e-10
8.0700	1.84656647e-09
8.0800	2.61795562e-09
8.0900	2.25798578e-09
8.1000	9.15354528e-10
8.1100	-1.18065047e-09
8.1200	-2.51713637e-09
8.1300	-3.49496046e-09
8.1400	-2.21458139e-09
8.1500	-3.42768143e-10
8.1600	2.17939782e-09
8.1700	4.71170678e-09
8.1800	4.24870796e-09
8.1900	3.35351436e-09
8.2000	-3.81816400e-10
8.2100	-3.83148735e-09
8.2200	-6.40220506e-09
8.2300	-7.32583910e-09
8.2400	-5.30206023e-09
8.2500	-2.38228191e-09
8.2600	1.54101580e-09
8.2700	3.41494214e-09
8.2800	3.83447589e-09
8.2900	1.59903384e-09
8.3000	-1.78450586e-09
8.3100	-3.91121110e-09
8.3200	-5.74562924e-09
8.3300	-3.41213659e-09
8.3400	-7.14556315e-10
8.3500	2.59119916e-09
8.3600	5.30900164e-09
8.3700	4.71956845e-09
8.3800	3.57708882e-09
8.3900	8.93979814e-10
8.4000	-8.08724207e-10
8.4100	-8.93760003e-10
8.4200	8.26203371e-11
8.4300	2.16124051e-09
8.4400	2.76073730e-09
8.4500	2.38955937e-09
8.4600	1.22556648e-11
8.4700	-3.15693979e-09
8.4800	-4.22033688e-09
8.4900	-4.85300248e-09
8.5000	-1.00616264e-09
8.5100	3.06593907e-09
8.5200	6.41289994e-09
8.5300	8.74953404e-09
8.5400	6.14679289e-09
8.5500	2.86374562e-09
8.5600	-2.14274384e-09
8.5700	-5.25491756e-09
8.5800	-5.48051492e-09
8.5900	-3.38817655e-09
8.6000	9.36248095e-10
8.6100	3.57768042e-09
8.6200	5.19911739e-09
8.6300	2.71466484e-09
8.6400	-1.24369677e-09
8.6500	-4.76122797e-09
8.6600	-8.20038931e-09
8.6700	-5.62511031e-09
8.6800	-2.60445856e-09
8.6900	2.98271920e-09
8.7000	7.64888227e-09
8.7100	8.35468212e-09
8.7200	7.33679455e-09
8.7300	2.33287982e-09
8.7400	-2.22727296e-09
8.7500	-6.16212482e-09
8.7600	-7.09944898e-09
8.7700	-5.36040913e-09
8.7800	-2.10904869e-09
8.7900	1.98743208e-09
8.8000	3.59527742e-09
8.8100	4.39431625e-09
8.8200	2.12339022e-09
8.8300	-6.14704372e-10
8.8400	-2.50999812e-09
8.8500	-4.09654843e-09
8.8600	-2.87475571e-09
8.8700	-1.53454338e-09
8.8800	2.57816519e-10
8.8900	1.31834897e-09
8.9000	8.29129177e-10
8.9100	-1.62772951e-10
8.9200	-1.81034769e-09
8.9300	-2.38762664e-09
8.9400	-2.07914354e-09
8.9500	-3.69054074e-10
8.9600	2.06186153e-09
8.9700	3.63825577e-09
8.9800	4.96454619e-09
8.9900	3.65637219e-09
9.0000	2.01188357e-09
9.0100	-2.33113397e-10
9.0200	-2.19336016e-09
9.0300	-1.92306360e-09
9.0400	-1.27761624e-09
9.0500	6.49596332e-10
9.0600	1.97838993e-09
9.0700	2.14359108e-09
9.0800	1.33313525e-09
9.0900	-6.56239414e-10
9.1000	-1.88916453e-09
9.1100	-2.54214500e-09
9.1200	-1.14097303e-09
9.1300	1.23021537e-09
9.1400	3.30910043e-09
9.1500	5.31142987e-09
9.1600	3.77564199e-09
9.1700	1.83714679e-09
9.1800	-1.87732680e-09
9.1900	-5.17630521e-09
9.2000	-5.74488676e-09
9.2100	-5.43905960e-09
9.2200	-2.44274413e-09
9.2300	1.79260614e-10
9.2400	2.13144617e-09
9.2500	2.39223896e-09
9.2600	7.58671825e-10
9.2700	-1.23106418e-09
9.2800	-3.47356519e-09
9.2900	-3.80181926e-09
9.3000	-3.30229086e-09
9.3100	-1.53013382e-09
9.3200	5.37983364e-10
9.3300	1.37520301e-09
9.3400	2.06684688e-09
9.3500	1.60858503e-09
9.3600	1.25081166e-09
9.3700	1.45828605e-09
9.3800	1.73433039e-09
9.3900	2.20139098e-09
9.4000	2.14322929e-09
9.4100	1.21845081e-09
9.4200	5.28146265e-11
9.4300	-1.36294303e-09
9.4400	-1.66885756e-09
